Course	Room	Teacher	Time	Students
412	CHSAUD	27	2	6 24 72 109 152 222 225 259 298 347 370 388 431 445 484 496 500 511 517 537 555 604 608 664 710 746 824 908 929 971 1005 1047 1111 
370	STO207	318	6	10 39 72 86 174 227 246 401 412 510 717 718 868 984 1109 1115 
295	HLL107	145	2	25 104 181 197 249 254 302 363 420 428 455 498 520 542 546 629 650 699 741 758 787 806 864 874 911 960 966 996 1114 1161 
292	OBS	316	10	74 242 603 646 720 
374	STO16	168	15	5 24 51 297 302 321 364 381 393 399 455 606 608 715 735 738 746 800 853 877 960 973 974 1039 1091 
377	HLL112	323	0	112 134 168 291 751 799 890 959 1014 1072 
590	STO14	39	8	5 22 38 66 170 414 447 592 728 766 895 1017 1103 1120 1162 1175 1183 
319	HLL112	238	7	9 114 483 518 558 779 806 821 922 1031 1139 1149 1155 
318	STOAUD	269	9	292 414 433 874 906 934 1099 1155 
199	STO119	239	0	122 135 151 479 688 745 910 1139 
709	STOAUD	56	3	5 22 38 66 78 106 139 170 180 196 236 250 324 336 364 408 411 441 447 483 495 592 700 728 750 752 759 766 777 895 905 957 960 1017 1060 1069 1079 1103 1104 1120 1125 1162 1170 1175 1183 
596	UN111	30	8	748 922 1075 
313	SHAAUD	188	6	3 4 7 9 11 13 16 35 43 47 158 181 204 206 214 226 233 255 285 288 296 304 313 377 380 398 408 443 451 463 467 468 481 489 527 531 536 554 583 584 585 588 591 624 626 642 671 673 689 693 732 734 753 754 776 813 829 851 926 927 981 1001 1008 1010 1022 1026 1028 1042 1066 1114 1116 1132 1162 1173 
312	CHS104	237	4	318 328 474 553 881 898 1154 
311	STO14	241	0	130 221 253 258 328 348 392 546 553 759 768 898 929 1002 1076 1078 
707	GST103	196	3	118 283 739 903 925 943 952 1169 
144	STO18	165	11	83 266 302 465 482 548 562 564 648 805 978 998 
315	STO301	232	9	33 105 210 546 574 733 825 993 1009 
192	STO10	26	15	53 54 65 121 129 173 265 268 273 290 320 330 416 417 466 486 782 789 827 872 1014 1024 1108 1122 1137 1167 1171 
115	STO16	97	3	84 131 133 149 155 190 206 212 223 255 354 399 530 579 590 638 650 702 726 818 829 921 989 1041 1057 1105 
68	SHAAUD	180	4	607 796 
89	STOAUD	159	4	71 183 645 741 1000 1059 
111	STO10	153	1	1 213 273 335 392 595 648 687 758 871 999 1075 
396	OBS	330	0	15 896 
395	STO18	241	2	59 194 320 417 452 902 1148 1154 
277	STO18	272	13	303 426 720 1051 1071 1078 
194	CHS104	292	1	
399	STO14	293	9	22 66 67 78 297 483 633 728 735 737 881 896 905 1043 1104 1136 1150 1183 
81	STO16	174	0	557 874 926 1177 
118	HLL7	110	9	132 136 540 654 878 994 1096 
84	HLL112	143	11	100 119 311 323 442 560 730 1062 
12	STO16	68	2	681 732 1180 
580	UN111	1	9	485 743 890 
378	SHAAUD	207	8	187 256 426 577 833 
605	UN111	196	4	780 984 
416	STO18	169	12	57 88 152 168 218 310 388 709 799 824 956 1158 
612	HLL7	205	8	175 234 464 470 515 703 1061 
3	HLL7	99	10	78 385 407 416 
7	HLS105	178	13	52 57 131 135 163 185 214 304 313 338 354 371 378 429 482 548 562 563 660 674 694 706 715 783 791 853 868 898 999 1015 1022 1097 1098 1155 1181 
365	HLL107	192	4	146 147 235 245 395 431 444 460 518 519 539 543 575 673 698 709 798 834 883 918 934 977 985 1007 1016 1032 1033 1045 1143 
528	STO119	282	2	42 146 151 271 279 341 346 475 480 514 521 640 803 970 1067 1090 1182 
363	STO119	189	9	38 54 138 280 466 548 588 626 725 726 768 864 895 908 928 945 1151 
360	HLL6	124	8	86 89 132 143 214 228 276 310 401 485 540 676 742 827 839 1034 
411	HLL6	56	0	82 183 231 292 307 319 505 797 995 1038 1085 
308	HLS105	304	2	51 67 95 101 138 148 153 158 180 189 232 236 256 307 328 353 381 411 464 470 493 505 528 532 558 561 633 660 707 756 774 795 797 863 924 980 991 1039 1072 1083 1086 1108 1121 1129 1138 1171 
309	STO16	300	1	21 139 143 346 391 443 456 591 677 747 
585	CHSAUD	97	1	40 52 55 58 62 83 113 131 179 191 243 291 334 343 360 365 424 430 459 498 539 667 799 819 910 911 959 1013 1032 1072 1141 1185 
516	STO207	194	11	61 187 189 256 353 402 558 559 685 703 833 928 980 1129 
581	STO301	254	8	255 454 536 722 767 777 1157 
443	STO119	90	3	298 680 896 
442	STO18	300	3	221 346 384 582 688 910 924 
302	STO10	192	0	
440	CHSAUD	171	8	173 349 389 390 815 900 976 1056 1126 
305	OBS	67	4	78 89 142 143 201 218 310 337 371 486 508 513 604 610 644 746 755 807 870 925 1120 
445	STO16	88	12	14 20 22 48 101 129 203 238 446 502 574 598 602 872 928 947 999 1023 1040 1131 1132 1155 
444	GST103	75	11	483 509 563 855 933 937 962 1027 1155 
244	UN111	320	2	643 715 
108	STO16	105	8	1 48 115 127 176 181 312 333 337 416 468 474 510 525 599 659 679 951 961 975 1022 1128 1185 
27	STO301	151	2	201 677 705 772 1029 1163 
240	HLS105	329	6	186 446 790 
386	STO16	201	14	55 190 191 205 259 376 377 429 432 487 650 652 670 694 769 832 921 985 1088 1113 1163 
297	CHSAUD	38	11	76 121 153 191 324 436 456 501 573 576 669 675 754 758 771 854 1079 
388	STO14	15	12	123 245 387 477 567 651 665 675 691 757 777 917 1036 1051 1081 1095 1124 1178 
149	HLL7	292	0	313 422 770 869 967 
106	STO207	188	3	63 96 109 393 511 569 586 587 697 773 908 968 1047 1157 
39	HLL6	317	1	359 549 568 659 838 1139 
33	CHS104	212	6	8 34 78 80 116 224 262 282 312 447 449 503 627 737 787 804 989 991 
375	HLL112	185	12	124 274 316 360 408 459 525 627 653 663 672 676 781 817 828 853 
36	HLL6	17	3	890 
641	UN111	196	5	118 
290	SHAAUD	153	0	294 352 545 665 711 788 988 1097 1146 
438	UN111	323	3	95 101 1050 
439	STO18	61	10	297 313 324 537 594 618 656 728 738 755 929 1025 
436	CHS104	297	3	87 183 187 189 231 281 292 307 319 474 528 577 707 797 859 889 932 995 1038 1083 1085 
437	HLL107	132	1	30 368 437 550 641 791 832 1068 1163 
432	HLL7	54	1	160 619 946 962 
514	HLL6	292	4	17 18 54 92 100 154 158 162 237 270 293 326 374 381 385 532 749 805 1040 1042 1043 1061 1065 1083 1105 1107 1153 
385	HLS105	245	1	28 39 56 104 162 385 439 461 601 606 699 708 807 820 839 902 933 938 970 1060 
458	CHS104	276	9	9 93 114 168 207 223 276 367 406 444 557 620 709 771 821 841 849 1052 1111 1139 1161 1164 
459	STO14	7	10	41 192 216 272 544 623 920 1049 1051 
620	SHAAUD	71	1	74 631 
627	HLL112	112	4	220 223 438 735 
573	STO10	296	5	147 245 247 356 406 410 431 477 518 522 539 543 567 779 798 816 913 918 934 953 1005 1012 1016 1045 1074 1117 1144 1176 
572	STO10	267	8	62 145 246 361 412 661 681 1021 1098 
629	CHSAUD	104	10	334 822 
336	GST103	28	14	285 385 622 679 693 700 776 912 1093 1175 
577	OBS	196	2	27 211 283 848 903 925 1135 1169 
576	STO207	68	4	56 77 182 455 528 622 762 769 853 859 860 868 1041 1157 
333	STOAUD	325	12	45 50 106 115 164 196 208 235 261 283 293 439 444 491 519 575 589 600 620 636 671 673 692 698 834 977 985 1007 1032 1033 1109 1143 1172 1174 
574	OBS	85	7	16 237 315 438 450 643 664 792 860 982 1055 1094 1140 
60	STOAUD	127	1	144 215 336 403 468 888 894 1170 
102	HLL6	90	2	568 794 
62	STO16	87	6	91 108 113 137 157 198 241 379 395 418 522 532 565 710 712 749 810 832 833 884 929 983 1011 1068 1102 1164 
63	HLL107	31	10	50 103 218 406 418 422 459 472 478 519 586 620 768 830 923 1005 1012 1016 1033 1043 1063 1068 1089 1109 1135 1143 1144 1176 
177	STO10	17	2	217 743 793 940 
69	STO14	62	7	8 77 185 258 321 357 372 383 422 712 861 950 958 990 1063 1107 
175	UN111	166	6	315 682 1169 
251	GST103	230	10	333 342 526 547 560 936 941 
253	HLL7	146	2	349 778 1151 1167 
172	HLL7	257	4	9 35 43 44 47 127 170 190 210 253 255 290 467 495 542 584 609 614 638 647 656 662 861 891 924 1022 1053 1092 1161 1162 1183 
554	GST103	19	4	384 616 1172 
407	STO18	239	4	278 287 869 952 1151 1167 
746	STO10	218	7	186 565 655 857 1159 1180 
543	SHAAUD	239	2	
249	HLL112	133	5	855 
482	HLS105	294	10	186 
731	STO301	228	4	99 128 194 298 835 892 1098 
704	CHSAUD	318	7	43 44 163 204 206 240 364 365 371 377 405 408 429 443 542 544 606 623 653 658 699 740 758 783 854 880 891 1023 1044 1046 1049 1058 1114 1127 1162 
180	OBS	48	6	17 592 704 722 
181	CHSAUD	18	4	53 106 203 269 282 311 394 555 730 1174 
734	STOAUD	112	2	172 329 
737	STOAUD	119	14	18 23 24 80 96 99 100 110 114 125 137 167 177 195 236 262 263 284 339 362 402 424 445 471 484 507 538 580 585 593 628 637 651 669 804 825 826 830 879 926 927 937 974 1011 1027 1070 1083 1091 1134 1152 1166 
651	STOAUD	296	8	18 23 24 55 72 80 96 99 110 114 119 125 137 152 167 177 193 195 205 222 230 259 260 262 263 284 298 299 309 339 343 370 374 388 392 393 402 404 424 445 471 484 489 490 507 509 530 538 555 580 583 597 613 628 637 642 651 669 677 689 710 721 746 804 821 825 826 830 871 877 879 884 887 921 932 937 974 1011 1027 1069 1091 1111 1123 1134 1152 1166 
188	GST103	39	5	189 281 292 319 474 505 528 707 889 932 1085 
502	HLL112	259	8	419 425 803 1040 
197	STOAUD	11	10	289 812 1019 
500	STO10	137	10	71 148 248 332 340 355 367 410 506 551 645 664 672 697 709 893 998 1000 1054 1059 1140 1160 
341	CHS104	257	5	25 34 158 288 466 471 481 503 588 651 713 743 747 775 834 957 1021 1080 1094 1118 1156 1170 
610	GST103	179	8	77 533 620 763 983 
631	HLL107	225	11	115 147 159 196 208 261 283 395 439 477 518 519 589 664 668 692 697 698 742 836 883 977 985 1005 1033 1045 1174 
632	SHAAUD	134	12	5 19 34 38 39 68 110 116 139 162 165 174 210 229 318 342 364 368 386 403 413 453 455 461 467 481 500 520 585 613 669 678 679 738 740 750 776 820 836 939 957 992 1025 1026 1028 1031 1039 1057 1058 1064 1092 1120 1139 
310	HLL107	199	3	159 
184	HLL7	76	3	54 181 185 363 453 659 872 884 966 975 1116 1150 1184 
560	STO14	54	4	93 327 459 994 1135 
466	STO119	266	11	94 254 340 341 370 447 448 486 503 527 614 630 726 919 934 950 1016 
460	OBS	71	5	49 221 233 263 310 342 534 636 657 676 684 686 725 823 939 965 1070 1128 1153 1183 
462	STO16	238	4	271 295 367 390 446 557 849 855 922 1052 1149 
98	HLL6	4	7	4 19 22 49 122 124 133 179 209 222 254 403 409 469 485 603 626 817 830 855 910 935 987 1013 1074 1093 1134 
228	CHSAUD	237	3	253 349 392 627 639 983 
91	HLL6	43	10	20 28 55 119 190 211 260 285 383 432 490 509 535 570 637 816 825 887 917 921 942 1008 1035 1091 
165	HLS105	105	3	135 
93	STO10	248	4	418 422 533 666 773 800 909 997 1068 
224	SHAAUD	18	3	98 165 182 213 232 235 366 372 430 502 504 598 663 1088 
160	STO10	2	9	48 123 211 487 954 976 997 
222	STO301	195	6	29 1179 
163	STO14	82	11	88 120 125 140 219 284 349 350 367 506 654 676 708 873 958 976 1098 1172 
282	HLL6	122	5	13 92 111 193 301 433 489 490 703 714 731 737 847 881 928 973 1031 1131 1136 
15	SHAAUD	22	15	6 11 16 19 26 44 80 81 85 88 96 111 175 182 278 413 454 457 479 499 538 568 574 584 598 638 652 653 716 730 750 752 765 766 767 823 891 977 990 1017 1023 1025 1037 1080 1092 1116 1161 1165 1170 
17	UN111	108	11	407 681 1096 
19	HLL112	160	6	130 235 245 260 444 487 511 519 747 828 954 966 1013 1027 1046 
110	HLS105	62	4	64 
720	HLL6	95	14	29 64 171 202 223 311 379 417 549 623 627 748 775 789 822 940 951 1050 1099 1148 
659	STO16	180	9	7 8 65 69 127 130 133 147 182 212 224 389 503 536 558 625 644 686 722 827 839 936 
740	STO18	159	7	45 159 164 250 305 463 531 636 837 1110 1123 1172 
741	GST103	196	9	241 309 719 749 800 964 1018 
606	STO301	180	5	160 345 667 763 817 852 873 963 1014 1038 
276	SHAAUD	186	10	947 
603	STO18	85	8	16 237 315 367 438 544 655 859 860 941 982 1094 
747	STO207	166	5	37 112 272 330 369 436 501 576 688 771 781 993 
158	GST103	71	6	265 570 843 880 
557	OBS	187	11	132 437 822 936 986 
553	STO18	85	9	103 118 200 269 281 448 732 739 780 802 867 1003 
238	STO18	232	6	79 107 217 275 350 517 549 665 791 878 964 1049 
239	OBS	133	9	104 108 234 274 295 374 391 410 497 510 516 589 615 666 753 779 781 812 911 922 1081 
235	STO119	195	5	69 79 348 435 494 744 1036 1047 
236	STO207	74	16	109 130 268 309 468 492 613 658 766 774 783 833 905 951 1104 
679	HLL107	282	5	237 915 
79	HLL7	14	5	196 461 463 900 952 
45	CHSAUD	179	5	50 63 143 195 208 259 388 399 472 496 556 570 589 614 619 696 718 768 923 958 968 983 1071 1111 1145 1164 
323	HLL112	44	16	2 15 85 91 144 414 438 487 602 745 776 823 898 1058 
321	STO16	276	10	39 104 114 189 346 477 486 528 559 673 703 722 739 770 798 806 807 813 970 1017 1032 1099 1111 1173 1174 1182 
5	CHS104	251	7	61 
327	HLL107	98	9	291 539 641 751 769 799 860 888 967 982 1102 
324	STO14	189	6	135 221 976 
325	HLS105	48	5	166 380 486 591 807 836 
9	STO301	281	11	150 161 446 451 996 1019 1053 1082 
476	STO301	254	7	3 116 191 312 387 762 782 801 872 1132 1150 1156 
328	HLS105	212	8	33 57 58 83 85 105 120 142 149 171 264 267 303 350 365 366 373 384 477 526 630 674 730 733 756 789 870 897 910 911 916 971 1029 1041 1087 1158 
352	HLL6	182	6	112 266 290 333 485 743 856 955 986 1071 
147	HLS105	73	9	178 435 462 525 634 646 663 1068 
618	CHS104	4	10	10 11 18 36 79 169 199 224 270 306 337 377 413 527 580 724 750 793 801 824 992 1024 1031 1064 1129 1136 
202	HLS105	167	17	12 26 39 70 87 174 188 199 236 252 258 326 335 381 403 421 423 470 523 524 534 540 543 587 602 609 624 626 631 633 654 662 678 779 867 885 901 973 1061 1076 1092 1121 1129 1171 
204	STO16	54	11	33 41 102 126 137 241 303 321 379 383 384 401 565 580 593 701 712 858 864 909 997 1107 1145 
140	SHAAUD	311	5	563 751 
209	HLL6	230	11	2 10 139 165 192 209 213 290 398 438 542 591 594 602 635 767 792 915 954 1002 1026 1049 1076 1088 1113 1136 1164 
613	STOAUD	202	5	402 643 792 943 
563	CHSAUD	261	9	12 26 35 154 170 258 282 318 335 380 385 436 537 647 656 662 716 759 767 823 861 933 978 981 1010 1037 1060 1079 1103 1125 1127 1128 1177 
611	STO10	251	6	90 180 299 559 577 586 685 756 863 1138 
615	HLL6	134	9	89 100 155 161 166 192 203 239 243 277 296 357 415 623 638 659 670 704 705 807 843 846 961 1042 1074 1080 1163 
72	STO207	21	8	14 49 150 396 451 498 675 744 786 898 955 996 
489	HLL107	43	6	31 404 437 697 811 838 886 1091 1117 
684	OBS	261	12	8 10 43 76 202 357 363 456 549 606 635 721 722 723 724 775 787 793 1044 1094 
487	CHS104	78	12	209 355 404 406 466 506 513 708 772 791 832 838 888 953 1053 1117 1135 1159 
655	HLL107	50	8	247 522 567 913 1140 1144 
484	HLL7	30	6	6 70 336 416 419 885 920 965 1034 1175 
483	CHSAUD	218	6	2 695 854 956 
478	HLS105	33	16	4 9 13 17 37 90 111 125 127 141 184 215 275 280 359 423 425 447 479 507 508 592 631 637 687 698 752 756 777 813 847 885 891 894 895 912 975 1046 1069 1113 1165 1184 
481	HLL107	259	7	36 101 126 300 304 306 419 421 516 559 617 632 820 991 1040 1057 1086 1138 1171 
479	STO207	329	10	66 68 124 240 328 386 387 415 423 717 989 1044 1046 1165 
732	HLL7	68	7	97 171 319 1179 
547	STO207	8	14	71 106 230 343 491 601 671 709 741 742 798 810 841 953 977 1059 
433	STOAUD	61	6	264 281 361 390 514 569 608 620 634 788 849 862 932 1154 
355	STO18	83	14	124 224 425 453 492 590 754 966 1017 1039 1177 
689	STO119	36	8	15 572 854 
477	SHAAUD	233	9	51 90 267 289 315 421 624 
474	SHAAUD	189	7	501 545 705 752 1078 
350	STO301	88	10	21 128 176 249 330 348 451 498 670 993 996 
267	GST103	116	13	76 121 249 326 348 716 724 782 951 1037 1042 
687	STOAUD	43	7	23 69 361 683 744 985 1011 1084 1145 1174 
686	HLL112	77	10	16 300 659 902 1078 1146 1154 
359	STOAUD	137	13	1 4 6 11 17 20 34 35 68 188 199 204 205 206 212 215 225 226 229 233 251 252 280 285 293 296 302 324 336 357 363 380 386 387 405 413 441 443 453 454 461 467 481 495 499 500 502 520 527 554 573 588 590 594 608 613 614 618 622 625 647 649 656 678 684 693 700 702 713 731 734 738 740 745 747 754 759 766 771 792 801 829 851 861 877 888 912 933 939 942 957 
