Course	Room	Teacher	Time	Students
217	STO14	146	5	215 283 425 483 536 554 590 635 650 723 740 762 829 851 880 894 999 1037 1063 
214	STO14	241	1	452 711 982 1169 
213	CHS104	282	0	42 237 279 341 382 475 480 521 640 803 809 990 1090 
565	STO207	273	12	42 91 148 153 169 175 279 464 508 648 660 720 894 1001 1067 1128 
665	HLL112	323	1	238 240 374 561 654 785 835 856 958 1102 1182 
664	STO18	196	1	32 739 828 1002 
662	GST103	248	1	102 548 556 572 781 1149 
133	STO301	27	0	142 218 347 1063 
132	STO207	320	1	197 337 465 592 715 732 755 808 844 897 1051 1147 
136	STO301	132	3	167 790 984 
134	GST103	160	7	72 207 598 600 669 698 718 889 906 1008 1018 
495	GST103	29	12	119 207 311 356 866 
127	CHS104	127	2	133 165 188 209 272 282 436 502 702 713 823 978 
492	UN111	101	10	275 641 788 967 
692	OBS	330	3	53 186 195 303 331 371 450 625 642 674 679 721 734 787 939 1007 1028 1030 1059 1102 
1	STO119	239	1	63 570 723 
26	STO119	113	10	197 229 273 414 495 517 723 876 885 1104 1125 
268	HLL112	54	2	102 113 321 376 379 383 478 666 712 768 858 909 923 1089 1145 
21	STO119	72	12	17 260 270 288 411 416 426 492 493 496 507 696 728 813 896 1127 1153 
22	STO119	122	7	13 92 193 301 433 489 490 714 731 847 859 881 928 1131 1136 
223	UN111	170	1	141 222 1071 
28	STO207	145	0	117 358 595 657 677 865 903 935 1115 
29	STO16	215	17	49 84 113 116 198 238 254 272 322 537 574 629 683 727 736 778 944 946 961 1015 1048 1094 1113 1152 1181 
344	CHSAUD	248	0	91 107 108 152 196 393 418 484 490 499 530 533 538 572 666 763 773 800 864 877 879 887 908 909 915 971 987 997 1047 1093 1127 1156 
406	HLS105	317	0	57 94 346 785 
347	STO18	19	5	375 420 439 658 789 857 882 902 907 964 984 1044 
546	CHS104	227	14	25 52 60 70 84 112 179 312 322 368 469 529 535 605 617 662 686 688 714 744 831 876 979 992 1064 1103 
4	HLL107	151	0	21 166 643 658 704 
401	STO119	14	6	326 415 636 1122 
545	STO10	228	3	264 568 628 684 701 717 857 916 
548	CHSAUD	107	13	46 106 159 164 230 250 332 343 355 410 491 551 600 601 645 664 671 672 697 741 810 821 841 883 893 949 988 998 1000 1054 1110 1140 1160 
549	STO10	77	11	3 7 12 70 184 232 288 372 414 428 445 471 554 555 684 694 711 714 783 824 905 912 1066 1069 1073 1080 1166 
408	HLL112	21	9	74 79 150 163 494 517 
522	STO119	199	4	893 949 
454	HLL6	290	13	62 86 89 123 145 246 275 294 320 389 540 615 655 661 681 695 742 788 815 852 900 1034 1056 1109 1112 1159 1180 
718	STO207	202	9	75 204 544 676 889 
717	STO16	182	7	76 144 176 216 249 262 263 275 330 511 550 826 1024 1026 1161 
675	STO207	76	7	28 188 197 202 273 537 546 560 795 827 868 961 1060 1073 
714	STO16	67	5	1 47 68 81 185 202 227 268 423 456 599 695 701 704 736 755 806 813 884 926 927 937 940 1073 1120 1122 
121	OBS	41	8	20 47 129 251 252 501 633 647 724 874 1064 
123	GST103	170	0	129 225 334 534 835 907 1073 
124	STOAUD	297	0	13 433 569 579 737 
24	HLL112	23	14	83 156 266 344 476 497 545 556 624 632 674 761 784 903 917 1181 
128	STO14	87	3	93 102 347 435 666 1144 1176 
129	STO301	118	1	27 375 616 780 1003 1150 
669	CHS104	224	8	95 126 151 153 169 306 411 475 480 508 514 521 552 648 660 894 1001 1025 1086 1118 
457	OBS	46	14	65 66 162 192 199 212 225 399 441 510 625 675 678 725 749 771 792 954 987 1066 
736	UN111	311	7	583 
59	UN111	196	0	75 780 802 
58	OBS	157	13	41 53 88 140 203 287 342 430 479 595 665 670 680 786 843 886 967 1024 1053 1062 1179 
283	STO14	71	2	242 603 835 
53	HLS105	36	7	154 
52	OBS	304	1	175 256 464 552 553 577 703 915 1061 
536	GST103	118	2	118 317 375 616 739 780 802 1003 1150 
535	STO207	174	2	81 207 227 269 299 350 415 639 642 684 790 844 1021 1065 
533	STO18	320	0	244 417 1130 
532	HLL112	245	3	37 772 849 1099 1111 
