Course	Room	Teacher	Time	Students
111	SHA412	153	1	1 213 273 335 392 595 648 687 758 871 999 1075 
396	STO119	330	0	15 896 
395	STO18	241	2	59 194 320 417 452 902 1148 1154 
277	STO16	272	7	303 426 720 1051 1071 1078 
194	STO14	292	1	
399	HLS11	293	6	22 66 67 78 297 483 633 728 735 737 881 896 905 1043 1104 1136 1150 1183 
81	HLS11	174	0	557 874 926 1177 
118	STO301	110	6	132 136 540 654 878 994 1096 
84	STOAUD	143	5	100 119 311 323 442 560 730 1062 
12	SHA410	68	0	681 732 1180 
580	HLL112	1	6	485 743 890 
378	ESTW309	207	5	187 256 426 577 833 
605	UN111	196	4	780 984 
416	STO18	169	14	57 88 152 168 218 310 388 709 799 824 956 1158 
612	SHA217	205	5	175 234 464 470 515 703 1061 
3	UN111	99	11	78 385 407 416 
7	CHSAUD	178	13	52 57 131 135 163 185 214 304 313 338 354 371 378 429 482 548 562 563 660 674 694 706 715 783 791 853 868 898 999 1015 1022 1097 1098 1155 1181 
365	SHA217	192	4	146 147 235 245 395 431 444 460 518 519 539 543 575 673 698 709 798 834 883 918 934 977 985 1007 1016 1032 1033 1045 1143 
528	STO119	282	2	42 146 151 271 279 341 346 475 480 514 521 640 803 970 1067 1090 1182 
363	STO119	189	7	38 54 138 280 466 548 588 626 725 726 768 864 895 908 928 945 1151 
360	HLL112	124	7	86 89 132 143 214 228 276 310 401 485 540 676 742 827 839 1034 
411	OBS	56	0	82 183 231 292 307 319 505 797 995 1038 1085 
308	HLS105	304	2	51 67 95 101 138 148 153 158 180 189 232 236 256 307 328 353 381 411 464 470 493 505 528 532 558 561 633 660 707 756 774 795 797 863 924 980 991 1039 1072 1083 1086 1108 1121 1129 1138 1171 
309	HLS11	300	1	21 139 143 346 391 443 456 591 677 747 
585	CHSAUD	97	1	40 52 55 58 62 83 113 131 179 191 243 291 334 343 360 365 424 430 459 498 539 667 799 819 910 911 959 1013 1032 1072 1141 1185 
516	HLL106	194	12	61 187 189 256 353 402 558 559 685 703 833 928 980 1129 
581	STO18	254	5	255 454 536 722 767 777 1157 
443	SHA217	90	1	298 680 896 
442	STO102	300	3	221 346 384 582 688 910 924 
302	SHA412	192	0	
440	HLL107	171	5	173 349 389 390 815 900 976 1056 1126 
305	OBS	67	4	78 89 142 143 201 218 310 337 371 486 508 513 604 610 644 746 755 807 870 925 1120 
445	SHA412	88	11	14 20 22 48 101 129 203 238 446 502 574 598 602 872 928 947 999 1023 1040 1131 1132 1155 
444	GST103	75	9	483 509 563 855 933 937 962 1027 1155 
244	UN111	320	2	643 715 
108	SHA412	105	7	1 48 115 127 176 181 312 333 337 416 468 474 510 525 599 659 679 951 961 975 1022 1128 1185 
27	STO102	151	2	201 677 705 772 1029 1163 
240	SHA410	329	4	186 446 790 
386	SHA412	201	14	55 190 191 205 259 376 377 429 432 487 650 652 670 694 769 832 921 985 1088 1113 1163 
297	CHSAUD	38	10	76 121 153 191 324 436 456 501 573 576 669 675 754 758 771 854 1079 
388	HLS11	15	12	123 245 387 477 567 651 665 675 691 757 777 917 1036 1051 1081 1095 1124 1178 
149	CHS104	292	0	313 422 770 869 967 
106	HLL106	188	3	63 96 109 393 511 569 586 587 697 773 908 968 1047 1157 
39	OBS	317	1	359 549 568 659 838 1139 
33	HLS11	212	10	8 34 78 80 116 224 262 282 312 447 449 503 627 737 787 804 989 991 
375	STO207	185	12	124 274 316 360 408 459 525 627 653 663 672 676 781 817 828 853 
36	HLS11	17	2	890 
641	UN111	196	5	118 
290	STO10	153	0	294 352 545 665 711 788 988 1097 1146 
438	UN111	323	3	95 101 1050 
439	STO301	61	7	297 313 324 537 594 618 656 728 738 755 929 1025 
436	SHA412	297	3	87 183 187 189 231 281 292 307 319 474 528 577 707 797 859 889 932 995 1038 1083 1085 
437	HLL107	132	0	30 368 437 550 641 791 832 1068 1163 
432	HLL7	54	0	160 619 946 962 
514	HLL6	292	4	17 18 54 92 100 154 158 162 237 270 293 326 374 381 385 532 749 805 1040 1042 1043 1061 1065 1083 1105 1107 1153 
385	ESTW309	245	0	28 39 56 104 162 385 439 461 601 606 699 708 807 820 839 902 933 938 970 1060 
